No,English,Japanese
1,as a result,結果として，その結果(接続詞)
2,however,しかしながら，どんなに～でも(副詞)
3,environment,環境，状況(名詞)
4,reduce,を減らす，縮小する(動詞)
5,instead,代わりに，その代わり(副詞)
6,in order to,～するために，～の目的で(熟語)
7,vehicle,乗り物，車(名詞)
8,recommend,を推薦する，を勧める(動詞)
9,improve,を改善する，改良する(動詞)
10,recently,最近，このごろ(副詞)
11,customer,顧客，お客様(名詞)
12,several,幾つかの，いくらかの(形容詞)
13,discover,を発見する，見つける(動詞)
14,common,共通の，共同の(形容詞)
15,in particular,特に，とりわけ(熟語)
16,disturb,を阻害する，(人の)邪魔をする(動詞)
17,moreover,さらに，その上(副詞)
18,not only A but also B,AだけでなくBもまた，Aと同様Bも(接続詞)
19,a number of,たくさんの，多数の(熟語)
20,be likely to,する可能性が高い，しそうになる(熟語)
21,benefit,利益/に利益をもたらす(名詞/動詞)
22,deal with,に対処する，に対応する(熟語)
23,solution,解決法，解明(名詞)
24,inform,情報を与える，に知らせる(動詞)
25,unable,できない，不能である(形容詞)
26,disease,病気，疾患(名詞)
27,therefore,それゆえ，だから(副詞)
28,unfortunately,残念なことに，不幸にも(副詞)
29,device,装置，仕掛け(名詞)
30,attractive,魅力的な，興味をそそる(形容詞)
31,climate,気候，天候(名詞)
32,end up,最終的に，することになる(動詞)
33,evidence,証拠，証明(名詞)
34,estimate,を推定する，評価する(動詞)
35,argue,だと主張する，感情的に論じる(動詞)
36,according to,によると，との情報によれば(前置詞)
37,meanwhile,一方で，他方で(副詞)
38,entirely,完全に，全く(副詞)
39,publish,を出版する，発行する(動詞)
40,melt,溶ける，を溶かす(動詞)
41,expense,費用，出費，犠牲(名詞)
42,contain,を含む，が入っている(動詞)
43,similar,似ている，類似の(形容詞)
44,government,政府，行政府，内閣(名詞)
45,modern,現代的な，現代の(形容詞)
46,million,100万(名詞)
47,quit,やめる，中止する(動詞)
48,scientist,科学者，研究者(名詞)
49,pollution,汚染，汚れ，汚染物(名詞)
50,foundation,土台，根拠，設立(名詞)
51,remove,を取り除く，を除去する(動詞)
52,compare,を比較する，をたとえる(動詞)
53,replace,を取り換える，を交換する(動詞)
54,lead to,に導く，～につながる(熟語)
55,furthermore,さらに，その上(副詞)
56,result in,結果として，結果～になる(熟語)
57,profit,利益，もうけ(名詞)
58,remain,のままである，残る(動詞)
59,organize,を組織する，を編成する(動詞)
60,suffer from,で苦しむ，悩まされる(熟語)
61,emphasize,を強調する，力説する(動詞)
62,more and more,ますます多くの，更に(熟語)
63,experiment,実験，試み(名詞)
64,consume,を消費する，消耗する(動詞)
65,development,発展，発達，開発(名詞)
66,detect,を検出する，を感知する(動詞)
67,extremely,極端に，過度に(副詞)
68,employment,雇用，採用(名詞)
69,by chance,偶然に，たまたま(熟語)
70,unlike,と異なって，とは違って(前置詞)
71,properly,適切に，適当に(副詞)
72,repair,を修理する，修繕する(動詞)
73,in addition,追加として，さらに(接続詞)
74,complicated,複雑な，繁雑な(形容詞)
75,until,までに，まで(接続詞/前置詞)
76,on the other hand,一方で，他方で(接続詞)
77,arrest,を逮捕する，捕まえる(動詞)
78,betray,を裏切る，をだます(動詞)
79,survey,調査/を見渡す(名詞/動詞)
80,affect,に影響を与える，に作用する(動詞)
81,consider,について考える，だと見なす(動詞)
82,portable,持ち運べる，携帯用の(形容詞)
83,remind,に思い出させる，に気付かせる(動詞)
84,ability,能力，力量(名詞)
85,allow,を許可する，許す(動詞)
86,quality,質，特性(名詞)
87,construction,建設，構造，建造物(名詞)
88,develop,を発達させる，を開発する(動詞)
89,permission,許可，認可(名詞)
90,mess,混乱，錯乱，無秩序(名詞)
91,convert,を変える，転換する(動詞)
92,resident,住民，居住者(名詞)
93,provide,を供給する，提供する(動詞)
94,metal,金属，合金(名詞)
95,immediately,即座に，直ちに(副詞)
96,predict,を予想する，を予測する(動詞)
97,religion,宗教，信仰(名詞)
98,currency,通貨，流通(名詞)
99,restore,を元に戻す，を修復する(動詞)
100,accompany,に付き添う，に同行する(動詞)
101,in detail,詳細に，具体的に(熟語)
102,no longer,もはや～でない，既に～ない(熟語)
103,nevertheless,にも関わらず，けれども(接続詞)
104,probably,おそらく，大抵(副詞)
105,in contrast,対照的に，これに対して(接続詞)
106,for instance,例えば，たとえ… としても(熟語)
107,additionally,加えて，さらに，追加で(副詞)
108,anxiety,心配，不安(名詞)
109,for example,例えば，たとえ… としても(熟語)
110,brain,頭脳，脳(名詞)
111,certain,ある，確信している(形容詞)
112,pain,痛み，苦痛(名詞)
113,in response to,に応じて，に反応して(熟語)
114,stare at,をじっと見つめる，を凝視する(熟語)
115,involve,包括する，を巻き込む(動詞)
116,at the same time,同时に，一斉に(熟語)
117,preserved,保存された，保管された(形容詞)
118,be known as,として知られている，として認知されている(熟語)
119,accurate,正確な，的確な(形容詞)
120,analyze,を分析する，分解する(動詞)
121,a variety of,いろいろな，さまざまな(熟語)
122,obtain,を手に入れる，を獲得する(動詞)
123,sympathy,同情，思いやり(名詞)
124,flexibility,しなやかさ，弾力性，柔軟性(名詞)
125,approach,に近づく，接近する(動詞)
126,manage,何とかうまくやる，管理を行う(動詞)
127,reach out,手を延ばす，手を差し出す(熟語)
128,for fear of,を恐れて，を怖がって(熟語)
129,on behalf of,の代わりに，代わって(熟語)
130,on account of,のため，目的の(熟語)
131,artificial,人工的な，人造の(形容詞)
132,prevent A from B,AをBから防ぐ，AをBから保護する(熟語)
133,rather than,よりむしろ，ではなくて(接続詞)
134,slightly,わずかに，少し(副詞)
135,measure,措置，測るもの/を測る(動詞)
136,be born with,生まれつき，生来の(熟語)
137,waste,を浪費する/浪費，廃棄物(名詞)
138,since then,それ以来，それ以降(熟語)
139,turn A into B,AをBに(質的に)変える，AをBに(質的に)転換する(熟語)
140,fertilizer,肥料，育成剤(名詞)
141,made of,で出来ている，構成されている(熟語)
142,adopt,を自分のものにする，を取り入れる(動詞)
143,raise,を上げる，持ち上げる(動詞)
144,avoid,を避ける，を回避する(動詞)
145,make sure,を確かめる，必ず手配する(熟語)
146,participate in,に参加する，に加わる(熟語)
147,achieve,を達成する，到達する(動詞)
148,tolerate,に耐える，寛大に取り扱う(動詞)
149,journey,旅，旅行(名詞)
150,get along,うまくやる，仲良くやる(熟語)
151,keep up with,に遅れず付いていく，遅れないで追随する(熟語)
152,production,生産，製造(名詞)
153,cell,細胞，マス目(名詞)
154,such as,のような，似たような(熟語)
155,complete,完全な，全部の(形容詞)
156,annually,毎年の，年一回ずつ(副詞)
157,psychologist,心理学者，精神科学者(名詞)
158,invest in,に投資する，に資本を提供する(熟語)
159,demand,要求，需要/を要求する(名詞)
160,respond,反応する，と返答する(動詞)
161,valuable,貴重な，価値のある(形容詞)
162,witness,目撃者，証人/を目撃する(名詞)
163,poverty,貧困，貧乏，困窮(名詞)
164,embarrass,を恥ずかしがらせる，を恥じさせる(動詞)
165,enlarge,を拡大する，を広げる(動詞)
166,ingredient,材料，原料，成分(名詞)
167,overall,全体的な，全部の(形容詞)
168,spend,を費やす，使う(動詞)
169,purchase,を購入する/購入(動詞)
170,brilliant,優れた，光り輝く(形容詞)
171,revolution,革命，変革(名詞)
172,in charge of,の担当をして，担当している(熟語)
173,previously,以前は，前もって(副詞)
174,feature,特徴，特性/を目玉とする(名詞)
175,excuse,言い訳，弁解/を許す(名詞)
176,rely on,に頼る，を当てにする(熟語)
177,vote for,に賛成する，に投票する(熟語)
178,decrease,減少する，を減らす/減少(動詞)
