おどろく（2個）,①（はっと）気づく　②（ふと）目を覚ます
ののしる（2個）,①大騒ぎする・大声で騒ぐ　②評判になる・うわさになる
ねんず（2個）,①（心の中で）祈る　②がまんする
おぼゆ（4個）,①（自然に）思われる　②似る・似ている　③思い出す　④（人から）思われる
しのぶ（2個）,①［耐え忍ぶ］がまんする・恋心を包み隠す　②［人目を忍ぶ］人目を避ける
ながむ（1個）,①もの思いに沈む・（もの思いに沈んで）ぼんやり見る
みゆ（3個）,①［自発の意から］（自然と）見える・思われる　②姿を見せる・現れる　③［受け身の意から］（人から）見られる・見せる・結婚する
あふ（1個）,①結婚する・男女が契る
ゐる（2個）,①座る・動かずにいる　②［他の動詞の連用形や助詞「て」に付いて］～ている
ありく（2個）,①動き回る・出歩く・外出する　②［動詞の連用形に付いて］（～して）まわる・（～し）続ける
あく（2個）,①満足する　②〔「飽かず」の形で〕満ち足りない・いやにならない
うつくし（2個）,①かわいらしい　②立派だ
かなし（1個）,①［愛し］いとしい・かわいい
いみじ（3個）,①［連用形「いみじく」「いみじう」の形で］とても・たいそう　②［好ましい場合］とてもすばらしい・とてもうれしい　③［好ましくない場合］とても悲しい・ひどい・大変だ
をかし（3個）,①趣がある・おもしろい　②美しい・かわいい　③滑稽だ
よし（2個）,①よい・すぐれている　②〔「よき人」の形で〕身分が高く教養がある
あやし（4個）,①［奇し・怪し］不思議だ・変だ　②［奇し・怪し］けしからん・よくない　③［賤し］身分が低い・卑しい　④［賤し］粗末だ・みすぼらしい
おとなし（3個）,①大人らしい・大人びている　②年配だ・（年長で）主だっている　③（年配で）思慮分別がある
ゆかし（1個）,①見たい・聞きたい・知りたい
おぼつかなし（3個）,①ぼんやりしている・はっきりしない　②気がかりだ・不安だ　③待ち遠しい・もどかしい
ありがたし（2個）,①めったにない　②（めったにないほど）立派だ・すぐれている
めでたし（1個）,①すばらしい・立派だ
くちをし（1個）,①残念だ・期待はずれだ
うし（1個）,① つらい・いやだ
わびし（2個）,①つらい・困ったことだ　②興ざめだ・もの足りない
あはれなり（1個）,①心底しみじみと感じられる
